№,Регион,Город,Улица,Дом,lat,lon,qc_geo,full_address
1530,Алтайский край,Барнаул,улица Нагорная 6-я,15г/5,53.303333,83.752458,2,"656045, Алтайский край, г Барнаул, Центральный р-н, ул Нагорная 6-я, д 15г/5"
1531,Алтайский край,Барнаул,улица Нагорная 6-я,15г/5,53.303333,83.752458,2,"656045, Алтайский край, г Барнаул, Центральный р-н, ул Нагорная 6-я, д 15г/5"
1532,Алтайский край,Барнаул,улица Нагорная 6-я,15г/6,53.303333,83.752458,2,"656045, Алтайский край, г Барнаул, Центральный р-н, ул Нагорная 6-я, д 15г/6"
1533,Алтайский край,Барнаул,улица Нагорная 6-я,15г/7,53.303333,83.752458,2,"656045, Алтайский край, г Барнаул, Центральный р-н, ул Нагорная 6-я, д 15г/7"
1534,Алтайский край,Барнаул,улица Нагорная 6-я,15г/8,53.303333,83.752458,2,"656045, Алтайский край, г Барнаул, Центральный р-н, ул Нагорная 6-я, д 15г/8"
1535,Алтайский край,Барнаул,улица Нагорная 6-я,15г/9,53.2981087,83.7418043,0,"656045, Алтайский край, г Барнаул, Центральный р-н, ул Нагорная 6-я, д 15г/9"
1536,Алтайский край,Барнаул,улица Нагорная 6-я,15г/10,53.2972184,83.743394,0,"656045, Алтайский край, г Барнаул, Центральный р-н, ул Нагорная 6-я, д 15г/10"
1537,Алтайский край,Барнаул,улица Нахимова,4,53.304399,83.61295,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Нахимова, д 4"
1538,Алтайский край,Барнаул,улица Нахимова,4А,53.3043754,83.612964,1,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Нахимова, д 4А"
1539,Алтайский край,Барнаул,улица Нахимова,8,53.302058,83.614414,2,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Нахимова, д 8"
1540,Алтайский край,Барнаул,Некрасова переулок,12,53.3407045,83.7972731,1,"656056, Алтайский край, г Барнаул, Центральный р-н, пер Некрасова, д 12"
1541,Алтайский край,Барнаул,Некрасова переулок,13,53.341663,83.79578,0,"656056, Алтайский край, г Барнаул, Центральный р-н, пер Некрасова, д 13"
1542,Алтайский край,Барнаул,Некрасова переулок,43,53.34728,83.78926,0,"656038, Алтайский край, г Барнаул, Центральный р-н, пер Некрасова, д 43"
1543,Алтайский край,Барнаул,Некрасова переулок,64А,53.348396,83.78962,0,"656038, Алтайский край, г Барнаул, Центральный р-н, пер Некрасова, д 64А"
1544,Алтайский край,Барнаул,улица Никитина,28,53.33968,83.798874,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 28"
1545,Алтайский край,Барнаул,улица Никитина,40,53.338814,83.79675,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 40"
1546,Алтайский край,Барнаул,улица Никитина,41А,53.337844,83.795721,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 41А"
1547,Алтайский край,Барнаул,улица Никитина,54,53.337946,83.794562,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 54"
1548,Алтайский край,Барнаул,улица Никитина,58,53.33762,83.79385,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 58"
1549,Алтайский край,Барнаул,улица Никитина,59,53.335056,83.78857,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 59"
1550,Алтайский край,Барнаул,улица Никитина,59А,53.334618,83.788463,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 59А"
1551,Алтайский край,Барнаул,улица Никитина,60,53.337364,83.79256,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 60"
1552,Алтайский край,Барнаул,улица Никитина,70,53.337011,83.792029,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 70"
1553,Алтайский край,Барнаул,улица Никитина,71,53.3340939,83.7862151,1,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 71"
1554,Алтайский край,Барнаул,улица Никитина,74,53.336672,83.791319,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 74"
1555,Алтайский край,Барнаул,улица Никитина,81,53.333473,83.784142,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 81"
1556,Алтайский край,Барнаул,улица Никитина,84,53.3355,83.788274,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 84"
1557,Алтайский край,Барнаул,улица Никитина,88,53.33522,83.787439,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 88"
1558,Алтайский край,Барнаул,улица Никитина,95,53.33265,83.782246,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 95"
1559,Алтайский край,Барнаул,улица Никитина,96,53.334339,83.785525,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 96"
1560,Алтайский край,Барнаул,улица Никитина,98,53.334226,83.784977,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 98"
1561,Алтайский край,Барнаул,улица Никитина,107,53.331725,83.780216,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 107"
1562,Алтайский край,Барнаул,улица Никитина,108,53.333645,83.783342,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 108"
1563,Алтайский край,Барнаул,улица Никитина,118,53.332801,83.78151,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 118"
1564,Алтайский край,Барнаул,улица Никитина,119А,53.33077,83.77793,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 119А"
1565,Алтайский край,Барнаул,улица Никитина,122,53.3324919,83.7808697,1,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 122"
1566,Алтайский край,Барнаул,улица Никитина,123,53.330682,83.777009,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 123"
1567,Алтайский край,Барнаул,улица Никитина,125,53.330553,83.776641,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 125"
1568,Алтайский край,Барнаул,улица Никитина,128А,53.3321507,83.7795,1,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 128А"
1569,Алтайский край,Барнаул,улица Никитина,128,53.332059,83.779596,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 128"
1570,Алтайский край,Барнаул,улица Никитина,130,53.33194,83.779282,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 130"
1571,Алтайский край,Барнаул,улица Никитина,131,53.330133,83.775554,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 131"
1572,Алтайский край,Барнаул,улица Никитина,133,53.329472,83.775536,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 133"
1573,Алтайский край,Барнаул,улица Никитина,138,53.331456,83.778042,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 138"
1574,Алтайский край,Барнаул,улица Никитина,158,53.330279,83.775033,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 158"
1575,Алтайский край,Барнаул,улица Никитина,160,53.33016,83.774754,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 160"
1576,Алтайский край,Барнаул,улица Никитина,162,53.330015,83.774395,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Никитина, д 162"
1577,Алтайский край,Барнаул,улица Новгородская,14,53.356766,83.694885,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул Новгородская, д 14"
1578,Алтайский край,Барнаул,улица Новгородская,16,53.357309,83.693987,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул Новгородская, д 16"
1579,Алтайский край,Барнаул,улица Новгородская,20,53.356674,83.69368,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул Новгородская, д 20"
1580,Алтайский край,Барнаул,улица Новгородская,26,53.3572,83.69089,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул Новгородская, д 26"
1581,Алтайский край,Барнаул,улица Новгородская,34,53.35766,83.68871,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул Новгородская, д 34"
1582,Алтайский край,Барнаул,улица Новороссийская,5,53.36405,83.73702,0,"656053, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 5"
1583,Алтайский край,Барнаул,улица Новороссийская,9,53.3629383,83.7346156,1,"656053, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 9"
1584,Алтайский край,Барнаул,улица Новороссийская,11Б,53.362526,83.735085,0,"656053, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 11Б"
1585,Алтайский край,Барнаул,улица Новороссийская,11,53.362328,83.73379,0,"656053, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 11"
1586,Алтайский край,Барнаул,улица Новороссийская,13А,53.361763,83.73378,0,"656053, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 13А"
1587,Алтайский край,Барнаул,улица Новороссийская,13,53.3611868,83.7329815,1,"656053, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 13"
1588,Алтайский край,Барнаул,улица Новороссийская,25А,53.358116,83.73109,0,"656052, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 25А"
1589,Алтайский край,Барнаул,улица Новороссийская,25,53.358185,83.73059,0,"656052, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 25"
1590,Алтайский край,Барнаул,улица Новороссийская,27,53.357628,83.73019,0,"656052, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 27"
1591,Алтайский край,Барнаул,улица Новороссийская,29,53.35716,83.72982,0,"656052, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новороссийская, д 29"
1592,Алтайский край,Барнаул,улица Новосибирская,1,53.306664,83.620828,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 1"
1593,Алтайский край,Барнаул,улица Новосибирская,1а,53.306877,83.61964,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 1а"
1594,Алтайский край,Барнаул,улица Новосибирская,2,53.308643,83.617615,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 2"
1595,Алтайский край,Барнаул,улица Новосибирская,2А,53.308468,83.61708,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 2А"
1596,Алтайский край,Барнаул,улица Новосибирская,3,53.30627,83.61769,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 3"
1597,Алтайский край,Барнаул,улица Новосибирская,4,53.30823,83.61663,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 4"
1598,Алтайский край,Барнаул,улица Новосибирская,5,53.306083,83.617001,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 5"
1599,Алтайский край,Барнаул,улица Новосибирская,6,53.307789,83.617289,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 6"
1600,Алтайский край,Барнаул,улица Новосибирская,7,53.305932,83.61657,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 7"
1601,Алтайский край,Барнаул,улица Новосибирская,8,53.307175,83.617486,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 8"
1602,Алтайский край,Барнаул,улица Новосибирская,8А,53.30733,83.61807,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 8А"
1603,Алтайский край,Барнаул,улица Новосибирская,9,53.305664,83.616,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 9"
1604,Алтайский край,Барнаул,улица Новосибирская,10,53.307537,83.618675,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 10"
1605,Алтайский край,Барнаул,улица Новосибирская,11,53.3051169,83.6152587,1,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 11"
1606,Алтайский край,Барнаул,улица Новосибирская,12,53.307564,83.61943,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 12"
1607,Алтайский край,Барнаул,улица Новосибирская,13,53.304937,83.613525,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 13"
1608,Алтайский край,Барнаул,улица Новосибирская,14,53.307903,83.61962,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 14"
1609,Алтайский край,Барнаул,улица Новосибирская,15,53.304706,83.612824,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 15"
1610,Алтайский край,Барнаул,улица Новосибирская,16В,53.308434,83.62062,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 16В"
1611,Алтайский край,Барнаул,улица Новосибирская,16Д,53.309548,83.61984,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 16Д"
1612,Алтайский край,Барнаул,улица Новосибирская,16Г,53.309064,83.619355,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 16Г"
1613,Алтайский край,Барнаул,улица Новосибирская,16,53.308278,83.61887,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 16"
1614,Алтайский край,Барнаул,улица Новосибирская,16Б,53.309086,83.62062,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 16Б"
1615,Алтайский край,Барнаул,улица Новосибирская,18,53.308914,83.61868,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 18"
1616,Алтайский край,Барнаул,улица Новосибирская,18А,53.30898,83.61809,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 18А"
1617,Алтайский край,Барнаул,улица Новосибирская,22,53.30644,83.6153,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 22"
1618,Алтайский край,Барнаул,улица Новосибирская,24,53.30626,83.614746,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 24"
1619,Алтайский край,Барнаул,улица Новосибирская,28,53.307234,83.613677,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 28"
1620,Алтайский край,Барнаул,улица Новосибирская,30,53.30703,83.61299,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 30"
1621,Алтайский край,Барнаул,улица Новосибирская,32,53.306156,83.61302,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 32"
1622,Алтайский край,Барнаул,улица Новосибирская,34,53.306836,83.612438,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 34"
1623,Алтайский край,Барнаул,улица Новосибирская,36,53.305782,83.61402,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 36"
1624,Алтайский край,Барнаул,улица Новосибирская,38,53.30561,83.612267,0,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Новосибирская, д 38"
1625,Алтайский край,Барнаул,улица Новоугольная,24,53.358701,83.762097,0,"656015, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новоугольная, д 24"
1626,Алтайский край,Барнаул,улица Новоугольная,26,53.357862,83.762537,0,"656015, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новоугольная, д 26"
1627,Алтайский край,Барнаул,улица Новоугольная,28,53.35748,83.76298,0,"656015, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новоугольная, д 28"
1628,Алтайский край,Барнаул,улица Новоугольная,34,53.35628,83.76262,0,"656015, Алтайский край, г Барнаул, Железнодорожный р-н, ул Новоугольная, д 34"
1629,Алтайский край,Барнаул,улица Озерная,17,53.378756,83.685241,2,"656909, Алтайский край, г Барнаул, Центральный р-н, ул Озерная, д 17"
1630,Алтайский край,Барнаул,улица Октябрят,29,53.364279,83.792352,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, ул Октябрят, д 29"
1631,Алтайский край,Барнаул,улица Октябрят,39,53.36523,83.79118,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, ул Октябрят, д 39"
1632,Алтайский край,Барнаул,улица Октябрят,44,53.36546,83.79228,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, ул Октябрят, д 44"
1633,Алтайский край,Барнаул,улица Осенняя 1-я,23,53.303828,83.624439,2,"656922, Алтайский край, г Барнаул, Индустриальный р-н, ул Осенняя 1-я, д 23"
1634,Алтайский край,Барнаул,улица Островского,4,53.372707,83.6925,0,"656019, Алтайский край, г Барнаул, ул Островского, д 4"
1635,Алтайский край,Барнаул,улица Островского,4А,53.371418,83.69217,0,"656019, Алтайский край, г Барнаул, ул Островского, д 4А"
1636,Алтайский край,Барнаул,улица Островского,4А,53.371418,83.69217,0,"656019, Алтайский край, г Барнаул, ул Островского, д 4А"
1637,Алтайский край,Барнаул,улица Островского,6А,53.372048,83.691463,0,"656019, Алтайский край, г Барнаул, ул Островского, д 6А"
1638,Алтайский край,Барнаул,улица Островского,6,53.372906,83.69174,0,"656019, Алтайский край, г Барнаул, ул Островского, д 6"
1639,Алтайский край,Барнаул,улица Островского,6А,53.372048,83.691463,0,"656019, Алтайский край, г Барнаул, ул Островского, д 6А"
1640,Алтайский край,Барнаул,улица Островского,7,53.371276,83.696588,0,"656019, Алтайский край, г Барнаул, ул Островского, д 7"
1641,Алтайский край,Барнаул,улица Островского,8,53.372845,83.69095,0,"656019, Алтайский край, г Барнаул, ул Островского, д 8"
1642,Алтайский край,Барнаул,улица Островского,10,53.37332,83.69014,0,"656019, Алтайский край, г Барнаул, ул Островского, д 10"
1643,Алтайский край,Барнаул,улица Островского,15,53.368286,83.694145,0,"656055, Алтайский край, г Барнаул, ул Островского, д 15"
1644,Алтайский край,Барнаул,улица Островского,16,53.372128,83.69025,0,"656019, Алтайский край, г Барнаул, ул Островского, д 16"
1645,Алтайский край,Барнаул,улица Островского,17,53.367355,83.69372,0,"656055, Алтайский край, г Барнаул, ул Островского, д 17"
1646,Алтайский край,Барнаул,улица Островского,17А,53.36744,83.6958,0,"656055, Алтайский край, г Барнаул, ул Островского, д 17А"
1647,Алтайский край,Барнаул,улица Островского,19,53.36667,83.694214,0,"656055, Алтайский край, г Барнаул, ул Островского, д 19"
1648,Алтайский край,Барнаул,улица Островского,21,53.361264,83.691758,2,"Алтайский край, г Барнаул, ул Островского, д 21"
1649,Алтайский край,Барнаул,улица Островского,22,53.370607,83.691898,0,"656019, Алтайский край, г Барнаул, ул Островского, д 22"
1650,Алтайский край,Барнаул,улица Островского,23,53.364972,83.693269,1,"656054, Алтайский край, г Барнаул, ул Островского, д 23"
1651,Алтайский край,Барнаул,улица Островского,24,53.37084,83.69135,0,"656019, Алтайский край, г Барнаул, ул Островского, д 24"
1652,Алтайский край,Барнаул,улица Островского,25,53.36426,83.693336,0,"656054, Алтайский край, г Барнаул, ул Островского, д 25"
1653,Алтайский край,Барнаул,улица Островского,26,53.37119,83.69118,0,"656019, Алтайский край, г Барнаул, ул Островского, д 26"
1654,Алтайский край,Барнаул,улица Островского,27,53.363853,83.69292,0,"656054, Алтайский край, г Барнаул, ул Островского, д 27"
1655,Алтайский край,Барнаул,улица Островского,29,53.363113,83.693343,0,"656054, Алтайский край, г Барнаул, ул Островского, д 29"
1656,Алтайский край,Барнаул,улица Островского,31,53.362484,83.692856,0,"656054, Алтайский край, г Барнаул, ул Островского, д 31"
1657,Алтайский край,Барнаул,улица Островского,32,53.370447,83.690798,0,"656019, Алтайский край, г Барнаул, ул Островского, д 32"
1658,Алтайский край,Барнаул,улица Островского,33,53.361623,83.69223,0,"656054, Алтайский край, г Барнаул, ул Островского, д 33"
1659,Алтайский край,Барнаул,улица Островского,36,53.369778,83.6897,1,"656055, Алтайский край, г Барнаул, ул Островского, д 36"
1660,Алтайский край,Барнаул,улица Островского,38,53.369,83.68928,0,"656055, Алтайский край, г Барнаул, ул Островского, д 38"
1661,Алтайский край,Барнаул,улица Островского,40,53.369087,83.688141,0,"656055, Алтайский край, г Барнаул, ул Островского, д 40"
1662,Алтайский край,Барнаул,улица Островского,41б,53.359023,83.693477,0,"656066, Алтайский край, г Барнаул, ул Островского, д 41б"
1663,Алтайский край,Барнаул,улица Островского,42,53.36847,83.688412,0,"656055, Алтайский край, г Барнаул, ул Островского, д 42"
1664,Алтайский край,Барнаул,улица Островского,43,53.35869,83.692307,0,"656066, Алтайский край, г Барнаул, ул Островского, д 43"
1665,Алтайский край,Барнаул,улица Островского,44,53.368217,83.689285,0,"656055, Алтайский край, г Барнаул, ул Островского, д 44"
1666,Алтайский край,Барнаул,улица Островского,46,53.367558,83.688934,0,"656055, Алтайский край, г Барнаул, ул Островского, д 46"
1667,Алтайский край,Барнаул,улица Островского,48,53.367783,83.68775,0,"656055, Алтайский край, г Барнаул, ул Островского, д 48"
1668,Алтайский край,Барнаул,улица Островского,49,53.358089,83.693,0,"656066, Алтайский край, г Барнаул, ул Островского, д 49"
1669,Алтайский край,Барнаул,улица Островского,50,53.36693,83.68784,0,"656055, Алтайский край, г Барнаул, ул Островского, д 50"
1670,Алтайский край,Барнаул,улица Островского,52,53.366376,83.68735,0,"656055, Алтайский край, г Барнаул, ул Островского, д 52"
1671,Алтайский край,Барнаул,улица Островского,56,53.364547,83.6876,0,"656054, Алтайский край, г Барнаул, ул Островского, д 56"
1672,Алтайский край,Барнаул,улица Островского,58,53.363483,83.68733,0,"656054, Алтайский край, г Барнаул, ул Островского, д 58"
1673,Алтайский край,Барнаул,улица Островского,60,53.363634,83.685731,0,"656054, Алтайский край, г Барнаул, ул Островского, д 60"
1674,Алтайский край,Барнаул,улица Островского,62,53.3629,83.68646,0,"656054, Алтайский край, г Барнаул, ул Островского, д 62"
1675,Алтайский край,Барнаул,улица Островского,64,53.362392,83.685201,0,"656054, Алтайский край, г Барнаул, ул Островского, д 64"
1676,Алтайский край,Барнаул,улица Островского,68Е,53.357577,83.690106,0,"656066, Алтайский край, г Барнаул, ул Островского, д 68Е"
1677,Алтайский край,Барнаул,улица Островского,68Д,53.35825,83.68973,0,"656066, Алтайский край, г Барнаул, ул Островского, д 68Д"
1678,Алтайский край,Барнаул,улица П.С.Кулагина,4,53.367023,83.76712,0,"656011, Алтайский край, г Барнаул, Октябрьский р-н, ул П.С.Кулагина, д 4"
1679,Алтайский край,Барнаул,улица П.С.Кулагина,14,53.370033,83.773299,0,"656011, Алтайский край, г Барнаул, Октябрьский р-н, ул П.С.Кулагина, д 14"
1680,Алтайский край,Барнаул,улица П.С.Кулагина,17,53.378274,83.792227,0,"656012, Алтайский край, г Барнаул, Октябрьский р-н, ул П.С.Кулагина, д 17"
1681,Алтайский край,Барнаул,улица П.С.Кулагина,23,53.379198,83.794248,0,"656012, Алтайский край, г Барнаул, Октябрьский р-н, ул П.С.Кулагина, д 23"
1682,Алтайский край,Барнаул,улица П.С.Кулагина,25,53.379767,83.794095,0,"656012, Алтайский край, г Барнаул, Октябрьский р-н, ул П.С.Кулагина, д 25"
1683,Алтайский край,Барнаул,улица П.С.Кулагина,26,53.37122,83.775931,0,"656012, Алтайский край, г Барнаул, Октябрьский р-н, ул П.С.Кулагина, д 26"
1684,Алтайский край,Барнаул,улица П.С.Кулагина,46,53.37872,83.79143,0,"656012, Алтайский край, г Барнаул, Октябрьский р-н, ул П.С.Кулагина, д 46"
1685,Алтайский край,Барнаул,Павловский тракт,60А,53.342392,83.708644,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 60А"
1686,Алтайский край,Барнаул,Павловский тракт,60б,53.342178,83.705908,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 60б"
1687,Алтайский край,Барнаул,Павловский тракт,60б,53.342178,83.705908,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 60б"
1688,Алтайский край,Барнаул,Павловский тракт,60В,53.342495,83.70378,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 60В"
1689,Алтайский край,Барнаул,Павловский тракт,60,53.341973,83.706581,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 60"
1690,Алтайский край,Барнаул,Павловский тракт,62,53.343828,83.708854,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 62"
1691,Алтайский край,Барнаул,Павловский тракт,66,53.344806,83.706446,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 66"
1692,Алтайский край,Барнаул,Павловский тракт,70,53.343586,83.706968,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 70"
1693,Алтайский край,Барнаул,Павловский тракт,74,53.342441,83.702835,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 74"
1694,Алтайский край,Барнаул,Павловский тракт,76,53.342812,83.700454,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 76"
1695,Алтайский край,Барнаул,Павловский тракт,76А,53.343156,83.703195,0,"656064, Алтайский край, г Барнаул, Павловский тракт, д 76А"
1696,Алтайский край,Барнаул,Павловский тракт,78А,53.344559,83.70147,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 78А"
1697,Алтайский край,Барнаул,Павловский тракт,78,53.343452,83.699799,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 78"
1698,Алтайский край,Барнаул,Павловский тракт,80,53.342726,83.699368,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 80"
1699,Алтайский край,Барнаул,Павловский тракт,82,53.342678,83.698002,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 82"
1700,Алтайский край,Барнаул,Павловский тракт,86,53.343366,83.69414,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 86"
1701,Алтайский край,Барнаул,Павловский тракт,88,53.344317,83.692588,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 88"
1702,Алтайский край,Барнаул,Павловский тракт,104,53.34378,83.692577,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 104"
1703,Алтайский край,Барнаул,Павловский тракт,106,53.343973,83.691903,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 106"
1704,Алтайский край,Барнаул,Павловский тракт,108,53.343339,83.69078,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 108"
1705,Алтайский край,Барнаул,Павловский тракт,112,53.34426,83.69102,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 112"
1706,Алтайский край,Барнаул,Павловский тракт,116,53.344495,83.690286,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 116"
1707,Алтайский край,Барнаул,Павловский тракт,118,53.344231,83.689379,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 118"
1708,Алтайский край,Барнаул,Павловский тракт,120,53.3443,83.68768,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 120"
1709,Алтайский край,Барнаул,Павловский тракт,124,53.345196,83.687965,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 124"
1710,Алтайский край,Барнаул,Павловский тракт,126,53.343704,83.687797,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 126"
1711,Алтайский край,Барнаул,Павловский тракт,128,53.343774,83.686109,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 128"
1712,Алтайский край,Барнаул,Павловский тракт,130,53.34386,83.685156,0,"656066, Алтайский край, г Барнаул, Павловский тракт, д 130"
1713,Алтайский край,Барнаул,Павловский тракт,132,53.344188,83.683063,0,"656057, Алтайский край, г Барнаул, Павловский тракт, д 132"
1714,Алтайский край,Барнаул,Павловский тракт,134,53.3444,83.68117,0,"656057, Алтайский край, г Барнаул, Павловский тракт, д 134"
